x,t
3.421417019,17.54376182
3.426874619,17.20061495
3.427060428,17.55640883
3.43355575,17.471299
3.441630238,17.51031114
3.449791577,17.47806248
3.455774556,17.56366553
3.461557862,17.43513076
3.470571548,17.81025882
3.472477006,17.44988112
3.480840345,17.61931409
3.487560684,17.44771375
3.489549166,17.91627685
3.494866588,17.86812938
3.502606875,17.85646393
3.510754446,17.89847592
3.513792421,17.59749818
3.517942941,17.74106927
3.527240394,18.00428619
3.529224802,17.77005573
3.536066992,18.15291328
3.539807885,18.03293854
3.544160327,17.84668055
3.546786426,17.96240423
3.547432684,18.20785522
3.553075262,17.88381883
3.556478078,17.80045281
3.557293362,18.00306548
3.560438793,18.19680316
3.561389572,18.15764595
3.566865891,18.27107894
3.571945282,18.30329951
3.572807453,18.01989007
3.581352924,18.14236834
3.584824973,18.19568878
3.586950571,18.11061257
3.592737645,17.97478147
3.594488679,18.37667132
3.596431071,18.10449001
3.59971984,18.0285028
3.606261423,18.12948545
3.611323211,18.50015164
3.621284023,18.59487272
3.627573093,18.57675203
3.630748613,18.20756143
3.636918761,18.31805376
3.64139967,18.69974209
3.649428793,18.70480059
3.654159786,18.4142645
3.662793669,18.51568961
3.663941858,18.39117612
